age_group,is_female,N,n_prefrail,n_frail,prefrail,frail
"[40,45)",0,5126,142,18,0.027701911822083494,0.00351150994927819
"[40,45)",1,10340,314,32,0.03036750483558994,0.003094777562862669
"[45,50)",0,7521,308,62,0.04095200106368834,0.008243584629703498
"[45,50)",1,13729,573,85,0.041736470245465805,0.0061912739456624665
"[50,55)",0,9542,536,101,0.0561727101236638,0.010584783064347097
"[50,55)",1,16444,931,147,0.05661639503770372,0.008939430795426903
"[55,60)",0,12063,784,152,0.06499212467876979,0.012600513968332918
"[55,60)",1,19021,1337,211,0.07029073129698754,0.011093002470953158
"[60,65)",0,12801,1085,224,0.08475900320287477,0.01749863291930318
"[60,65)",1,18803,1566,266,0.0832845822475137,0.014146678721480614
"[65,70)",0,12266,1310,221,0.10679928256970488,0.018017283548018913
"[65,70)",1,17867,1790,322,0.10018469804667823,0.01802205182739128
"[70,75)",0,11053,1395,243,0.12621007871166198,0.021984981452999187
"[70,75)",1,14077,1791,337,0.12722881295730623,0.023939759892022447
"[75,80)",0,7352,1040,220,0.14145810663764963,0.029923830250272034
"[75,80)",1,8225,1251,243,0.15209726443768998,0.029544072948328268
"[80,100)",0,5444,1062,256,0.19507714915503307,0.0470242468772961
"[80,100)",1,5775,1195,281,0.20692640692640693,0.04865800865800866
