"age_group","is_female","n","n_prefrail","n_frail","n_robust","prefrail","frail","robust"
"[40,45)",0,6031,42,0,4082,0.00696401923395788,0,0.676836345548002
"[40,45)",1,7159,84,4,5424,0.0117334823299343,0.000558737253806398,0.757647716161475
"[45,50)",0,11440,148,4,8782,0.0129370629370629,0.00034965034965035,0.767657342657343
"[45,50)",1,14635,245,6,12173,0.0167406901264093,0.000409976084728391,0.83177314656645
"[50,55)",0,12800,299,16,11438,0.023359375,0.00125,0.89359375
"[50,55)",1,17563,482,13,16185,0.0274440585321414,0.00074019245003701,0.921539600296077
"[55,60)",0,15449,609,28,14277,0.0394200271862256,0.00181241504304486,0.924137484626837
"[55,60)",1,20464,789,31,19234,0.0385555121188428,0.00151485535574668,0.939894448788116
"[60,65)",0,21827,1421,62,19921,0.0651028542630687,0.00284051862372291,0.912676959728776
"[60,65)",1,27399,1475,62,25530,0.0538340815358225,0.0022628563086244,0.931785831599693
"[65,70)",0,20991,2091,137,18481,0.0996141203372874,0.00652660664094136,0.880424944023629
"[65,70)",1,22599,1842,106,20436,0.0815080313288199,0.00469047302978008,0.904287800345148
"[70,75)",0,5525,684,48,4733,0.123800904977376,0.00868778280542986,0.856651583710407
"[70,75)",1,5684,611,25,5008,0.107494722026742,0.00439831104855735,0.881069669247009
